question,notes,answered,answered_pct,abstained,abstained_pct,empty,missing_key,missing_key_pct
about,6860,6824,99.5,16,0.2,2,18,0.3
claim,6860,6697,97.6,145,2.1,0,18,0.3
move,6860,6785,98.9,57,0.8,0,18,0.3
ranges_over,6860,6509,94.9,333,4.9,0,18,0.3
stops_holding,6860,2718,39.6,4124,60.1,0,18,0.3
position_of,6860,5349,78.0,1493,21.8,0,18,0.3
position,6860,6176,90.0,666,9.7,0,18,0.3
arguing_against,6860,5143,75.0,326,4.8,1373,18,0.3
names,6860,6797,99.1,4,0.1,41,18,0.3
citations,6860,5887,85.8,205,3.0,750,18,0.3
mechanism,6860,5871,85.6,971,14.2,0,18,0.3
evidence,6860,6043,88.1,799,11.6,0,18,0.3
comparison,6860,5993,87.4,849,12.4,0,18,0.3
defines,6860,3237,47.2,336,4.9,3269,18,0.3
uses,6860,6762,98.6,25,0.4,55,18,0.3
concedes,6860,5994,87.4,848,12.4,0,18,0.3
assumes,6860,5671,82.7,1171,17.1,0,18,0.3
